eps,min_samples,n_clusters,n_noise,noise_pct,core_points,largest_cluster_pct,silhouette_all,silhouette_non_noise
0.3,5,1,49990,99.98,5,100.0,,
0.3,10,0,50000,100.0,0,,,
0.3,15,0,50000,100.0,0,,,
0.3,20,0,50000,100.0,0,,,
0.3,30,0,50000,100.0,0,,,
0.3,40,0,50000,100.0,0,,,
0.4,5,28,49806,99.612,71,13.402061855670103,,
0.4,10,1,49988,99.976,2,100.0,,
0.4,15,0,50000,100.0,0,,,
0.4,20,0,50000,100.0,0,,,
0.4,30,0,50000,100.0,0,,,
0.4,40,0,50000,100.0,0,,,
0.5,5,112,48939,97.878,437,10.367577756833176,,
0.5,10,5,49919,99.83800000000001,18,39.50617283950617,,
0.5,15,0,50000,100.0,0,,,
0.5,20,0,50000,100.0,0,,,
0.5,30,0,50000,100.0,0,,,
0.5,40,0,50000,100.0,0,,,
0.6,5,180,46947,93.894,1608,10.645266950540453,-0.29460213620849196,0.5187253825991022
0.6,10,33,49159,98.31800000000001,222,18.7871581450654,,
0.6,15,7,49787,99.574,29,38.497652582159624,,
0.6,20,1,49954,99.908,6,100.0,,
0.6,30,0,50000,100.0,0,,,
0.6,40,0,50000,100.0,0,,,
0.7,5,255,44140,88.28,3501,7.1331058020477816,-0.369719256726579,0.3763427175145217
0.7,10,50,47424,94.848,1001,13.858695652173914,,
0.7,15,22,48687,97.37400000000001,333,22.162985529322164,,
0.7,20,11,49392,98.784,102,33.38815789473684,,
0.7,30,2,49875,99.75,10,75.2,,
0.7,40,1,49960,99.92,1,100.0,,
0.8,5,320,41112,82.224,5889,5.569306930693069,-0.366336094643251,0.23586557015875464
0.8,10,79,45140,90.28,2347,8.97119341563786,-0.2690777974458955,0.38513943980586574
0.8,15,35,46774,93.548,1175,12.151270923744576,,
0.8,20,26,47822,95.64399999999999,585,16.758494031221304,,
0.8,30,8,49064,98.128,160,30.76923076923077,,
0.8,40,2,49634,99.268,40,54.09836065573771,,
0.9,5,404,37926,75.852,8492,5.913533211860195,-0.3691026550927692,0.1653306135865828
0.9,10,109,42565,85.13,4063,9.078681909885676,-0.3179076714330696,0.24425780677217565
0.9,15,53,44750,89.5,2400,11.428571428571429,-0.2701537908778371,0.4106635225463924
0.9,20,31,45940,91.88,1556,13.793103448275861,,
0.9,30,19,47480,94.96,654,16.46825396825397,,
0.9,40,9,48501,97.002,274,24.216144096064042,,
1.0,5,464,34816,69.632,11141,11.703108535300316,-0.3729878123083051,0.1358904941901762
1.0,10,141,39882,79.764,5998,12.48270409171773,-0.3300176750555482,0.19704451218711647
1.0,15,77,42338,84.676,3920,15.740015661707126,-0.28364505166582954,0.23772273238737657
1.0,20,47,43890,87.78,2751,15.417348608837973,-0.27977175116631237,0.24177570288778613
1.0,30,25,45684,91.36800000000001,1521,18.836886005560704,,
1.0,40,19,46713,93.426,840,19.44021904472163,,
1.2,5,70,21533,43.065999999999995,21092,97.59370499174483,-0.35717617696152737,-0.21784424327589444
1.2,10,10,26133,52.266,13923,98.99442745213057,-0.15794012688376396,0.011704968544219787
1.2,15,7,29314,58.628,10336,99.0863385864836,-0.17061931822264292,0.05122745078692552
1.2,20,7,31603,63.205999999999996,8195,99.16290699570582,-0.17945332800174038,0.0751881269905871
1.2,30,2,34670,69.34,5655,99.80430528375733,-0.190181239749171,0.03826827900835193
1.2,40,2,36855,73.71,4160,99.7109166983644,-0.23551726581748153,0.3292842896203045
1.5,5,27,8646,17.291999999999998,35468,99.58891521980945,-0.1563622092324632,-0.06889503132472999
1.5,10,3,11012,22.024,29099,99.92818303067611,-0.08929892352716168,0.036410466405379815
1.5,15,3,12725,25.45,25154,99.91415157612342,0.046788200284904505,
1.5,20,1,14131,28.261999999999997,22359,100.0,0.030433625839626274,
1.5,30,2,16264,32.528,18474,99.19373962532606,0.008427780026823884,
1.5,40,2,18124,36.248000000000005,15640,99.31923704354372,-0.008883850840764956,
