var1,var2,correlation,abs_correlation
Weight_(kg),BMI,0.8463610831367324,0.8463610831367324
Sex,Height_(cm),0.7264712379480351,0.7264712379480351
Height_(cm),Weight_(kg),0.5075130498639006,0.5075130498639006
Sex,Weight_(kg),0.39668794443438304,0.39668794443438304
Arthritis,Age_Category,0.34746755157742165,0.34746755157742165
Fruit_Consumption,Green_Vegetables_Consumption,0.30994285480640316,0.30994285480640316
General_Health,Exercise,0.262209457491382,0.262209457491382
General_Health,Arthritis,-0.25862332772569874,0.25862332772569874
Skin_Cancer,Age_Category,0.2581530118440273,0.2581530118440273
General_Health,Diabetes,-0.2564956521030397,0.2564956521030397
Checkup,Age_Category,0.24899965646385105,0.24899965646385105
General_Health,BMI,-0.24543440645649692,0.24543440645649692
Other_Cancer,Age_Category,0.22343338353732875,0.22343338353732875
General_Health,Heart_Disease,-0.21575758942672751,0.21575758942672751
Heart_Disease,Age_Category,0.2145743528757816,0.2145743528757816
Age_Category,FriedPotato_Consumption,-0.20078065383787008,0.20078065383787008
General_Health,Depression,-0.1984824941185726,0.1984824941185726
Diabetes,BMI,0.1980235104315082,0.1980235104315082
Sex,FriedPotato_Consumption,0.1847860403762653,0.1847860403762653
Diabetes,Age_Category,0.18449345402620307,0.18449345402620307
